[0,1,-1.0]	3
[0,1,-2.0]	2
[0,1,0.0]	13
[0,1,1.0]	6
[0,1,2.0]	1
[0,10,-1.0]	1
[0,10,-2.0]	2
[0,10,-3.0]	1
[0,10,0.0]	13
[0,10,1.0]	3
[0,10,2.0]	1
[0,10,3.0]	1
[0,100,-1.0]	2
[0,100,0.0]	9
[0,100,1.0]	3
[0,100,3.0]	1
[0,101,-1.0]	2
[0,101,-2.0]	1
[0,101,0.0]	9
[0,101,1.0]	1
[0,101,2.0]	1
[0,101,3.0]	1
[0,101,4.0]	1
[0,102,-1.0]	1
[0,102,-2.0]	1
[0,102,-4.0]	1
[0,102,0.0]	11
[0,102,1.0]	2
[0,103,-1.0]	3
[0,103,-2.0]	1
[0,103,-3.0]	1
[0,103,0.0]	6
[0,103,1.0]	3
[0,103,2.0]	1
[0,104,-1.0]	3
[0,104,-2.0]	2
[0,104,0.0]	8
[0,104,1.0]	2
[0,104,3.0]	1
[0,105,-1.0]	4
[0,105,-2.0]	1
[0,105,0.0]	6
[0,105,1.0]	2
[0,105,4.0]	2
[0,106,-1.0]	3
[0,106,0.0]	11
[0,106,1.0]	2
[0,106,2.0]	2
[0,106,3.0]	1
[0,107,-1.0]	3
[0,107,0.0]	12
[0,107,1.0]	3
[0,107,3.0]	1
[0,107,4.0]	1
[0,108,-1.0]	2
[0,108,0.0]	14
[0,108,1.0]	3
[0,108,4.0]	1
[0,109,-1.0]	3
[0,109,0.0]	6
[0,109,1.0]	5
[0,109,4.0]	1
[0,11,-1.0]	1
[0,11,-2.0]	3
[0,11,-4.0]	2
[0,11,0.0]	16
[0,11,1.0]	1
[0,11,3.0]	2
[0,110,-2.0]	1
[0,110,0.0]	10
[0,110,1.0]	1
[0,110,2.0]	1
[0,111,-1.0]	3
[0,111,-2.0]	1
[0,111,0.0]	10
[0,111,2.0]	1
[0,111,3.0]	1
[0,112,-1.0]	3
[0,112,-2.0]	1
[0,112,0.0]	5
[0,112,1.0]	3
[0,112,2.0]	2
[0,113,-1.0]	1
[0,113,-3.0]	2
[0,113,0.0]	7
[0,113,1.0]	4
[0,113,2.0]	1
[0,113,3.0]	1
[0,114,-1.0]	2
[0,114,-2.0]	1
[0,114,0.0]	6
[0,114,1.0]	6
[0,114,2.0]	1
[0,115,-1.0]	4
[0,115,-4.0]	1
[0,115,0.0]	15
[0,115,1.0]	4
[0,115,3.0]	1
[0,116,-1.0]	2
[0,116,-2.0]	1
[0,116,-3.0]	1
[0,116,0.0]	11
[0,116,1.0]	1
[0,116,2.0]	1
[0,117,-1.0]	3
[0,117,-2.0]	3
[0,117,-3.0]	1
[0,117,0.0]	6
[0,117,1.0]	3
[0,117,3.0]	1
[0,118,-1.0]	1
[0,118,-2.0]	1
[0,118,0.0]	7
[0,118,1.0]	3
[0,118,2.0]	1
[0,118,4.0]	1
[0,119,-1.0]	4
[0,119,-2.0]	2
[0,119,0.0]	11
[0,119,1.0]	4
[0,119,2.0]	2
[0,119,3.0]	1
[0,119,4.0]	1
[0,12,-1.0]	3
[0,12,-2.0]	1
[0,12,0.0]	7
[0,12,1.0]	6
[0,12,3.0]	1
[0,120,-1.0]	1
[0,120,0.0]	10
[0,120,1.0]	3
[0,120,2.0]	2
[0,121,-1.0]	4
[0,121,-2.0]	1
[0,121,0.0]	11
[0,121,1.0]	1
[0,121,2.0]	1
[0,122,-1.0]	4
[0,122,-2.0]	1
[0,122,-3.0]	1
[0,122,-4.0]	1
[0,122,0.0]	6
[0,122,1.0]	4
[0,122,3.0]	1
[0,122,4.0]	1
[0,123,-1.0]	4
[0,123,-4.0]	1
[0,123,0.0]	10
[0,123,1.0]	3
[0,123,4.0]	1
[0,124,-1.0]	3
[0,124,-3.0]	1
[0,124,-4.0]	1
[0,124,0.0]	14
[0,124,1.0]	3
[0,125,-1.0]	4
[0,125,-2.0]	1
[0,125,-3.0]	1
[0,125,0.0]	8
[0,125,1.0]	4
[0,125,2.0]	1
[0,126,-1.0]	4
[0,126,-4.0]	1
[0,126,0.0]	7
[0,126,1.0]	2
[0,127,-1.0]	4
[0,127,0.0]	15
[0,127,1.0]	3
[0,127,4.0]	1
[0,128,-1.0]	3
[0,128,-2.0]	1
[0,128,-3.0]	1
[0,128,-4.0]	1
[0,128,0.0]	7
[0,128,1.0]	1
[0,128,2.0]	1
[0,129,-1.0]	3
[0,129,-2.0]	1
[0,129,0.0]	7
[0,129,1.0]	4
[0,13,-1.0]	5
[0,13,-2.0]	2
[0,13,-3.0]	1
[0,13,0.0]	8
[0,13,1.0]	3
[0,13,2.0]	3
[0,130,-1.0]	6
[0,130,-2.0]	1
[0,130,0.0]	8
[0,130,1.0]	1
[0,131,-1.0]	2
[0,131,-3.0]	1
[0,131,0.0]	9
[0,131,1.0]	1
[0,131,2.0]	2
[0,132,-1.0]	1
[0,132,-2.0]	1
[0,132,-4.0]	1
[0,132,0.0]	18
[0,133,-2.0]	2
[0,133,0.0]	6
[0,133,1.0]	4
[0,133,2.0]	1
[0,134,-1.0]	5
[0,134,-2.0]	2
[0,134,0.0]	14
[0,134,1.0]	3
[0,134,2.0]	2
[0,135,-2.0]	2
[0,135,0.0]	15
[0,135,1.0]	3
[0,136,-1.0]	3
[0,136,-3.0]	1
[0,136,-4.0]	1
[0,136,0.0]	6
[0,136,1.0]	2
[0,136,2.0]	1
[0,137,-1.0]	4
[0,137,-2.0]	1
[0,137,0.0]	6
[0,137,1.0]	3
[0,138,-1.0]	3
[0,138,-2.0]	1
[0,138,0.0]	8
[0,138,1.0]	4
[0,139,-1.0]	2
[0,139,-2.0]	2
[0,139,-4.0]	1
[0,139,0.0]	9
[0,139,1.0]	1
[0,139,2.0]	1
[0,139,3.0]	1
[0,14,-1.0]	3
[0,14,-2.0]	2
[0,14,-3.0]	1
[0,14,0.0]	7
[0,14,1.0]	3
[0,14,2.0]	1
[0,140,-1.0]	4
[0,140,-2.0]	2
[0,140,-3.0]	1
[0,140,0.0]	6
[0,140,1.0]	2
[0,141,-1.0]	2
[0,141,-2.0]	2
[0,141,-3.0]	1
[0,141,0.0]	9
[0,141,1.0]	5
[0,141,2.0]	1
[0,142,-1.0]	4
[0,142,-2.0]	1
[0,142,-3.0]	2
[0,142,-4.0]	1
[0,142,0.0]	9
[0,142,1.0]	3
[0,143,-1.0]	4
[0,143,-2.0]	3
[0,143,-4.0]	1
[0,143,0.0]	6
[0,143,1.0]	2
[0,143,2.0]	2
[0,144,-1.0]	2
[0,144,0.0]	9
[0,144,1.0]	1
[0,145,-1.0]	2
[0,145,-2.0]	1
[0,145,-4.0]	1
[0,145,0.0]	8
[0,145,1.0]	4
[0,145,2.0]	1
[0,146,-1.0]	4
[0,146,0.0]	8
[0,146,1.0]	2
[0,146,2.0]	1
[0,147,-1.0]	2
[0,147,0.0]	8
[0,147,1.0]	2
[0,147,2.0]	1
[0,147,4.0]	1
[0,148,-1.0]	3
[0,148,0.0]	10
[0,148,2.0]	1
[0,149,-1.0]	5
[0,149,-3.0]	1
[0,149,0.0]	9
[0,149,1.0]	1
[0,149,2.0]	1
[0,15,-1.0]	5
